"Point ID"	"Easting(m)"	"Northing(m)"	"Z(m)"	"Ant.Height(m)"	"2D Qual(m)"	"1D Qual(m)"	"Time"
"cam1"	72504.15	452073.78	15.001	0	0.01	0.01	"10:09:28"
"cam2"	72502.974	452074.208	15.001	0	0.01	0.02	"10:10:57"
"cam3"	72502.297	452074.363	15.001	0	0.01	0.01	"10:12:22"
"cam4"	72501.667	452074.446	15.009	0	0.01	0.01	"10:13:10"
"cam5"	72500.945	452073.362	15	0	0.01	0.01	"10:13:50"
"cam6"	72501.07	452072.895	14.984	0	0.01	0.01	"10:14:27"
"cam7"	72501.594	452071.569	14.973	0	0.01	0.02	"10:15:22"
"cam8"	72502.077	452071.17	14.947	0	0.02	0.03	"10:18:05"
"cam9"	72502.827	452071.438	14.959	0	0.01	0.01	"10:18:56"
"cam10"	72503.278	452071.953	14.943	0	0.01	0.02	"10:20:45"
"cam11"	72503.639	452072.354	15.007	0	0.01	0.01	"10:23:10"
"cam12"	72504.039	452072.899	14.963	0	0.01	0.01	"10:24:02"
"floor4"	72505.214	452073.283	12.808	0	0.01	0.02	"10:48:16"
"floor5"	72501.026	452071.317	12.818	0	0.02	0.02	"10:50:03"
